"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(IC)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IC)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"800033-95158","Nodes","-95158",21.000000,42.892880,"Default Known Flow Node","Known Flow",479640.521671,214704.960633,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,
"800033-100756","Nodes","-100756",21.000000,41.085821,"Default Known Flow Node","Known Flow",479483.271628,214801.835659,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,
"80003300000182","Nodes","182",21.000000,42.003013,"Default Known Flow Node","Known Flow",479589.646657,214823.085665,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,
"80003300002385","Nodes","2385",21.000000,40.838317,"DDS demands","Known Flow",479471.146624,214803.210660,,0.000000,,,,,,,-6.639999,,,,,,,,,-5.937606,-6.639999,,"",,,,,,,"D1 PROFILE",,,,,,,,
"800033-100745","Nodes","-100745",21.000000,40.837930,"Default Known Flow Node","Known Flow",479454.521620,214799.835659,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,
"80003300002285","Nodes","2285",21.000000,38.197877,"DDS demands","Known Flow",479320.146583,214435.085560,,0.000000,,,,,,,,,,-2.390000,,,,,,-2.137181,-2.390000,,"",,,,,,,,,,"I2 PROFILE",,,,,
"800033-100685","Nodes","-100685",21.000000,38.197877,"Default Known Flow Node","Known Flow",479321.641337,214434.700772,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,
"80003300002344","Nodes","2344",21.000000,42.471256,"DDS demands","Known Flow",479601.771660,214749.210645,,0.000000,,,,-0.180000,,,-12.180000,,,,,,,,,-11.052533,-12.359999,,"",,,,"C4 PROFILE",,,"D1 PROFILE",,,,,,,,
"80003300002211","Nodes","2211",21.000000,23.863807,"DDS demands","Known Flow",479644.396672,215056.460729,,0.000000,,,,,,,-3.390000,,,,,,,,,-3.031398,-3.390000,,"",,,,,,,"D1 PROFILE",,,,,,,,
"80003300002209","Nodes","2209",21.000000,23.865241,"DDS demands","Known Flow",479666.646678,215043.585725,,0.000000,,,,,,,-2.419999,,,,,,,,,-2.164007,-2.419999,,"",,,,,,,"D1 PROFILE",,,,,,,,
