"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-DC)"
"80061100000013","Nodes","13",21.000000,50.169901,"DDS demands","Known Flow",439181.673750,217373.343750,,0.000000,,,-10.140000,,,,-9.067369,-10.140000,,"",,,"D1 PROFILE",,,
"80061100000023","Nodes","23",21.000000,48.822924,"DDS demands","Known Flow",439249.580000,217312.750000,,0.000000,,,-1.269999,,,,-1.135656,-1.269999,,"",,,"D1 PROFILE",,,
"80061100000014","Nodes","14",21.000000,49.482173,"DDS demands","Known Flow",439210.173750,217409.656250,,0.000000,,,-6.390000,,,,-5.714052,-6.390000,,"",,,"D1 PROFILE",,,
"80061100000015","Nodes","15",21.000000,49.290070,"DDS demands","Known Flow",439168.392500,217395.546875,,0.000000,,,-6.070000,,,,-5.427902,-6.070000,,"",,,"D1 PROFILE",,,
"80061100000051","Nodes","51",21.000000,48.756131,"DDS demands","Known Flow",439267.173750,217494.343750,,0.000000,-15.750000,,-13.970000,,,,-26.576156,-29.720002,,"","C1 PROFILE",,"D1 PROFILE",,,
"80061100000034","Nodes","34",21.000000,36.462415,"DDS demands","Known Flow",439491.746479,217171.156554,,0.000000,,,-4.709999,,,,-4.211766,-4.709999,,"",,,"D1 PROFILE",,,
"80061100000046","Nodes","46",21.000000,34.518835,"DDS demands","Known Flow",439616.392500,217236.250000,,0.000000,-3.079999,,-30.669999,,,,-30.179854,-33.749999,,"","C1 PROFILE",,"D1 PROFILE",,,
"80061100000042","Nodes","42",21.000000,40.272134,"DDS demands","Known Flow",439574.986250,217437.750000,,0.000000,,,-14.640000,,,,-13.091350,-14.640000,,"",,,"D1 PROFILE",,,
"80061100000043","Nodes","43",21.000000,37.034179,"DDS demands","Known Flow",439642.173750,217354.546875,,0.000000,,,-17.909999,,,,-16.015442,-17.909999,,"",,,"D1 PROFILE",,,
"80061100000047","Nodes","47",21.000000,32.694134,"DDS demands","Known Flow",439756.580000,217323.046875,,0.000000,,,-8.949999,,-6.000000,,-13.368557,-14.949999,,"",,,"D1 PROFILE",,"I2 PROFILE",
"80061100000052","Nodes","52",21.000000,48.113961,"DDS demands","Known Flow",439230.080000,217519.046875,,0.000000,,,-18.149999,,,,-16.230054,-18.149999,,"",,,"D1 PROFILE",,,
"80061100000026","Nodes","26",21.000000,46.485772,"DDS demands","Known Flow",439360.486250,217514.046875,,0.000000,,,-9.229999,,,,-8.253630,-9.229999,,"",,,"D1 PROFILE",,,
"80061100000038","Nodes","38",21.000000,45.776534,"DDS demands","Known Flow",439416.892500,217586.250000,,0.000000,,,-3.670000,,,,-3.281779,-3.670000,,"",,,"D1 PROFILE",,,
"80061100000074","Nodes","74",21.000000,48.523322,"DDS demands","Known Flow",439297.986250,217535.046875,,0.000000,,-3.020000,-0.850000,,,,-3.460623,-3.870000,,"",,"C4 PROFILE","D1 PROFILE",,,
"80061100000075","Nodes","75",21.000000,48.517244,"DDS demands","Known Flow",439281.673750,217545.843750,,0.000000,,,-1.649999,,,,-1.475459,-1.649999,,"",,,"D1 PROFILE",,,
"80061100000016","Nodes","16",21.000000,48.150791,"DDS demands","Known Flow",439328.486250,217570.343750,,0.000000,,,-5.280000,,,,-4.721470,-5.280000,,"",,,"D1 PROFILE",,,
"80061100000017","Nodes","17",21.000000,46.502564,"DDS demands","Known Flow",439371.673750,217648.250000,,0.000000,,,-16.299999,,,,-14.575751,-16.299999,,"",,,"D1 PROFILE",,,
"80061100000018","Nodes","18",21.000000,46.176016,"DDS demands","Known Flow",439482.988487,217626.258005,,0.000000,,,-6.860000,,,,-6.134335,-6.860000,,"",,,"D1 PROFILE",,,
"80061100000037","Nodes","37",21.000000,45.828163,"DDS demands","Known Flow",439405.173750,217533.343750,,0.000000,,,-8.090000,,,,-7.234223,-8.090000,,"",,,"D1 PROFILE",,,
"80061100000019","Nodes","19",21.000000,36.011235,"DDS demands","Known Flow",439459.580000,217742.750000,,0.000000,-4.289999,,-12.149999,,,,-14.700942,-16.439999,,"","C1 PROFILE",,"D1 PROFILE",,,
"80061100000039","Nodes","39",21.000000,44.948286,"DDS demands","Known Flow",439476.892500,217514.343750,,0.000000,-4.320000,,-11.270000,,,,-13.940857,-15.590000,,"","C1 PROFILE",,"D1 PROFILE",,,
"80061100000076","Nodes","76",21.000000,44.685720,"DDS demands","Known Flow",439481.580000,217511.656250,,0.000000,,,-5.919999,,,,-5.293770,-5.919999,,"",,,"D1 PROFILE",,,
"80061100000077","Nodes","77",21.000000,44.680147,"DDS demands","Known Flow",439493.392500,217434.656250,,0.000000,,,-0.899999,,,,-0.804796,-0.899999,,"",,,"D1 PROFILE",,,
"80061100000020","Nodes","20",21.000000,35.767992,"DDS demands","Known Flow",439557.673750,217666.656250,,0.000000,,,-5.909999,,,,-5.284827,-5.909999,,"",,,"D1 PROFILE",,,
"80061100000053","Nodes","53",21.000000,32.850370,"DDS demands","Known Flow",439583.673750,217786.156250,,0.000000,,,-6.329999,,-12.960000,,-17.249463,-19.290000,,"",,,"D1 PROFILE",,"I2 PROFILE",
"80061100000021","Nodes","GT13942, Farley Lane CSEP, -5.87",30.370002,33.222159,"CSEP DDS Matched","Known Flow",439561.986250,217777.250000,,0.000000,,,,-5.870000,,,-5.249059,-5.870000,,"",,,,"DC PROFILE",,
