"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"80123100000064","Nodes","64","21.000000","30.019673","DDS demands","Known Flow","440277.261959","198220.390148","","0.000000","","","","","-1.240000","","","","","-1.108830","-1.240000","","","","","","","D1 PROFILE","","","",""
"80123100000082","Nodes","82","21.000000","30.076556","Default Known Flow Node","Known Flow","440277.520024","198207.229968","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"80123100000065","Nodes","65","21.000000","30.112161","DDS demands","Known Flow","440283.424961","198170.830134","","0.000000","","","","","-2.359999","","","","","-2.110354","-2.359999","","","","","","","D1 PROFILE","","","",""
"80123100000081","Nodes","P00105270, Faringdon Road Restwood, 5.96","22.999998","30.218811","CSEP DDS Matched","Known Flow","440292.705964","198166.038133","","0.000000","","","","","","-5.090000","","","","-4.551569","-5.090000","","","","","","","","DC PROFILE","","",""
"80123100000068","Nodes","68","21.000000","29.881395","DDS demands","Known Flow","440395.552139","198074.054101","","0.000000","","","","","-9.319999","","","","","-8.334110","-9.319999","","","","","","","D1 PROFILE","","","",""
"80123100000012","Nodes","12","21.000000","29.797148","DDS demands","Known Flow","440272.828958","198024.022094","","0.000000","","","","","-6.890000","","","","","-6.161161","-6.890000","","","","","","","D1 PROFILE","","","",""
"80123100000050","Nodes","50","21.000000","29.889349","DDS demands","Known Flow","440408.686724","198075.126454","","0.000000","","","","","-0.199999","","","","","-0.178843","-0.199999","","","","","","","D1 PROFILE","","","",""
"80123100309656","Nodes","309656","21.000000","28.259743","Default Known Flow Node","Known Flow","440408.711995","198457.016212","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"80123100058649","Nodes","58649","21.000000","28.259743","Default Known Flow Node","Known Flow","440400.452993","198454.388211","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"80123100309658","Nodes","309658","21.000000","29.894901","Default Known Flow Node","Known Flow","440409.871216","198074.824551","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"80123100000048","Nodes","48","21.000000","30.419405","DDS demands","Known Flow","440473.647229","198151.563909","","0.000000","","","","","-6.610000","","","","","-5.910780","-6.610000","","","","","","","D1 PROFILE","","","",""
