"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(PL-DC)"
"80014200000020","Nodes","20","21.000000","42.768018","Default Known Flow Node","Known Flow","453017.403536","251724.745782","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"80014200000017","Nodes","17","21.000000","42.808083","DDS demands","Known Flow","453353.273387","252237.055255","","0.000000","","","","-20.049998","","","","-17.929067","-20.049998","","","","","","D1 PROFILE","","",""
"80014200000121","Nodes","121","21.000000","43.086689","DDS demands","Known Flow","453630.698577","252487.407416","","0.000000","","","","-13.970000","","","","-12.492224","-13.970000","","","","","","D1 PROFILE","","",""
"80014200000122","Nodes","122","21.000000","43.082875","DDS demands","Known Flow","453628.996593","252512.150921","","0.000000","","","","-0.620000","","","","-0.554415","-0.620000","","","","","","D1 PROFILE","","",""
"80014200000272","Nodes","272","21.000000","43.074471","Default Known Flow Node","Known Flow","453625.070343","252486.312347","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"80014200000014","Nodes","14","21.000000","43.344763","DDS demands","Known Flow","453743.306624","252523.871924","","0.000000","","","","-14.630000","","","","-13.082408","-14.630000","","","","","","D1 PROFILE","","",""
"80014200000141","Nodes","141","21.000000","39.981174","DDS demands","Known Flow","453684.161608","252810.175002","","0.000000","","","","-7.159999","","","","-6.402599","-7.159999","","","","","","D1 PROFILE","","",""
"80014200008000","Nodes","Logger 66, Anscomb Way","21.000000","41.141531","Val Log Post","Known Flow","453747.542420","252822.516289","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"80014200000027","Nodes","27","21.000000","41.274711","DDS demands","Known Flow","453754.707912","252825.667458","","0.000000","","","","-2.880000","","","","-2.575347","-2.880000","","","","","","D1 PROFILE","","",""
"80014200000158","Nodes","158","21.000000","36.546978","DDS demands","Known Flow","453644.439111","252751.585561","","0.000000","","","","-7.320000","","","","-6.545675","-7.320000","","","","","","D1 PROFILE","","",""
