"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)"
"80006900000292","Nodes","292","21.000000","61.092134","DDS demands","Known Flow","458796.712999","184275.917353","","0.000000","","","","","-7.929999","","","","","","-7.091147","-7.929999","","","","","","","D1 PROFILE","","","","",""
"80006900000265","Nodes","265","21.000000","64.550083","Default Known Flow Node","Known Flow","459037.113907","184464.689233","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"80006900000268","Nodes","268","21.000000","64.331079","Default Known Flow Node","Known Flow","459196.180107","184451.339401","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"80006900001000","Nodes","1000","21.000000","64.942792","Default Known Flow Node","Known Flow","459031.763229","184520.813460","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"80006900001212","Nodes","1212","21.000000","64.788489","Default Known Flow Node","Known Flow","459043.021066","184620.916447","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"80006900000255","Nodes","255","21.000000","64.855837","DDS demands","Known Flow","459005.904056","184624.397448","","0.000000","","","","","-4.449999","","","","","","-3.979269","-4.449999","","","","","","","D1 PROFILE","","","","",""
"80006900000003","Nodes","MOULSFORD VILLAGE DG, Site ID 8620","21.000000","64.999998","Default Known Pressure Node","Known Pressure","459032.965563","184530.484091","","999998.967025","","","","","","","","","","","215.792663","241.320002","","","","","","","","","","","",""
"80006900000395","Nodes","395","21.000000","25.539342","DDS demands","Known Flow","460174.642634","180693.134807","","0.000000","","-9.859999","","","-13.749999","","","","","","-21.112483","-23.610000","","","","C2 PROFILE","","","D1 PROFILE","","","","",""
"80006900000402","Nodes","402","21.000000","25.343695","DDS demands","Known Flow","460106.142656","180670.201322","","0.000000","","","","","-0.669999","","","","","","-0.599125","-0.669999","","","","","","","D1 PROFILE","","","","",""
"80006900000413","Nodes","413","21.000000","25.206849","DDS demands","Known Flow","460045.136885","180650.182785","","0.000000","","","","-2.079999","-20.579999","","","","","","-20.262978","-22.659999","","","","","","C4 PROFILE","D1 PROFILE","","","","",""
