"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(PL-DC)"
"80120800000110","Nodes","110",21.000000,21.422006,"DDS demands","Known Flow",464785.065906,181787.200530,,0.000000,,,,,-3.469999,,-3.102936,-3.469999,,"",,,,,"D1 PROFILE",
"80120800000079","Nodes","79",21.000000,20.602002,"Default Known Flow Node","Known Flow",464851.892646,181780.701674,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80120800278691","Nodes","-278691",21.000000,23.376068,"Default Known Flow Node","Known Flow",464859.392648,181668.076643,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80120800000067","Nodes","67",21.000000,23.376068,"DDS demands","Known Flow",464867.017651,181663.701642,,0.000000,,,,,-2.499999,,-2.235544,-2.499999,,"",,,,,"D1 PROFILE",
"80120800000074","Nodes","74",21.000000,21.371882,"DDS demands","Known Flow",464864.767650,181718.576657,,0.000000,,,,,-2.929999,,-2.620058,-2.929999,,"",,,,,"D1 PROFILE",
"80120800000073","Nodes","73",21.000000,21.345855,"DDS demands","Known Flow",464880.267654,181729.201660,,0.000000,,,,,-1.929999,,-1.725840,-1.929999,,"",,,,,"D1 PROFILE",
"80120800000061","Nodes","61",21.000000,25.738432,"DDS demands","Known Flow",464966.267678,181816.951684,,0.000000,,,,,-1.940000,,-1.734782,-1.940000,,"",,,,,"D1 PROFILE",
"80120800000092","Nodes","92",21.000000,23.078360,"DDS demands","Known Flow",464546.017563,181646.326638,,0.000000,,,,,-8.329999,,-7.448834,-8.329999,,"",,,,,"D1 PROFILE",
"80120800000090","Nodes","90",21.000000,23.434185,"DDS demands","Known Flow",464610.637902,181672.869769,,0.000000,,,,,-2.700000,,-2.414388,-2.700000,,"",,,,,"D1 PROFILE",
"80120800000046","Nodes","46",21.000000,29.285857,"Default Known Flow Node","Known Flow",464617.392583,181606.076627,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80120800000120","Nodes","120",21.000000,24.996023,"DDS demands","Known Flow",464623.392584,181748.826665,,0.000000,,,,,-2.599999,,-2.324966,-2.599999,,"",,,,,"D1 PROFILE",
"80120800278659","Nodes","-278659",21.000000,22.054455,"Default Known Flow Node","Known Flow",464678.642599,181652.701639,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80120800000082","Nodes","82",21.000000,21.898721,"DDS demands","Known Flow",464724.017612,181643.951637,,0.000000,,,,,-0.869999,,-0.777969,-0.869999,,"",,,,,"D1 PROFILE",
"80120800000083","Nodes","83",21.000000,20.878621,"DDS demands","Known Flow",464705.517607,181605.951627,,0.000000,,,,,-4.099999,,-3.666293,-4.099999,,"",,,,,"D1 PROFILE",
"80120800000084","Nodes","84",21.000000,20.764642,"DDS demands","Known Flow",464689.017602,181618.326630,,0.000000,,,,,-6.260000,,-5.597804,-6.260000,,"",,,,,"D1 PROFILE",
"80120800000085","Nodes","85",21.000000,20.593160,"DDS demands","Known Flow",464770.642624,181605.826627,,0.000000,,,,,-5.870000,,-5.249059,-5.870000,,"",,,,,"D1 PROFILE",
"80120800000042","Nodes","42",21.000000,21.910183,"DDS demands","Known Flow",464758.642621,181656.201640,,0.000000,,,,,-0.639999,,-0.572299,-0.639999,,"",,,,,"D1 PROFILE",
"80120800000045","Nodes","45",21.000000,21.803504,"DDS demands","Known Flow",464766.642623,181676.701646,,0.000000,,,,,-1.299999,,-1.162483,-1.299999,,"",,,,,"D1 PROFILE",
"80120800000081","Nodes","81",21.000000,21.870914,"DDS demands","Known Flow",464777.142626,181652.826639,,0.000000,,,,,-3.459999,,-3.093993,-3.459999,,"",,,,,"D1 PROFILE",
