"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"60201600000314","Nodes","314,","21.000000","28.685519","DDS demands","Known Flow","312916.339303","680777.561455","","0.000000","","","","","-13.659999","","","","","","-12.215016","-13.659999","","","","","","","D1 PROFILE","","","","",""
"60201600002217","Nodes","2217,","21.000000","24.780442","Default Known Flow Node","Known Flow","312501.645621","680689.319093","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60201600000629","Nodes","629,","21.000000","24.736905","DDS demands","Known Flow","312529.399618","680671.143305","","0.000000","","","","","-1.659999","","","","","","-1.484401","-1.659999","","","","","","","D1 PROFILE","","","","",""
"60201600000630","Nodes","630,","21.000000","24.909310","DDS demands","Known Flow","312660.018945","680585.054349","","0.000000","","","","","-8.130000","","","","","","-7.269991","-8.130000","","","","","","","D1 PROFILE","","","","",""
"60201600000638","Nodes","638,","21.000000","30.074877","DDS demands","Known Flow","312950.071312","680784.598457","","0.000000","","","","","-6.849999","","","","","","-6.125392","-6.849999","","","","","","","D1 PROFILE","","","","",""
"60201600002560","Nodes","2560,","21.000000","30.074877","Default Known Flow Node","Known Flow","312944.208709","680801.229854","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60201600002309","Nodes","2309,","21.000000","28.525845","Default Known Flow Node","Known Flow","313125.958360","680501.697380","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60201600000635","Nodes","635,","21.000000","27.294234","DDS demands","Known Flow","313312.782411","680519.692385","","0.000000","","","","","-0.209999","","","","","","-0.187785","-0.209999","","","","","","","D1 PROFILE","","","","",""
"60201600000151","Nodes","151,","21.000000","29.193500","DDS demands","Known Flow","313143.558365","680521.736386","","0.000000","-6.000000","","","","-26.459999","","","","","","-29.026313","-32.459998","","","C1 PROFILE","","","","D1 PROFILE","","","","",""
"60201600000391","Nodes","391,","21.000000","33.396480","DDS demands","Known Flow","313291.358329","680934.967688","","0.000000","","","","","-7.639999","","","","","","-6.831824","-7.639999","","","","","","","D1 PROFILE","","","","",""
"60201600002175","Nodes","2175,","21.000000","33.243061","Default Known Flow Node","Known Flow","313314.424452","680966.753420","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60201600002211","Nodes","2211,","21.000000","33.250209","Default Known Flow Node","Known Flow","313304.837430","680972.516594","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60201600000390","Nodes","390,","21.000000","33.468392","DDS demands","Known Flow","313295.197406","680889.055486","","0.000000","","","","","-11.279999","","","","","","-10.086777","-11.279999","","","","","","","D1 PROFILE","","","","",""
"60201600000394","Nodes","394,","21.000000","33.464023","Default Known Flow Node","Known Flow","313306.010409","680896.817488","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60201600000402","Nodes","402,","21.000000","33.250448","Default Known Flow Node","Known Flow","313341.094419","680926.355496","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60201600002563","Nodes","2563,","21.000000","33.722554","Default Known Flow Node","Known Flow","313259.010396","680852.020476","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60201600000389","Nodes","389,","21.000000","33.760346","DDS demands","Known Flow","313233.291389","680808.459464","","0.000000","","","","","-9.529999","","","","","","-8.521896","-9.529999","","","","","","","D1 PROFILE","","","","",""
"60201600002510","Nodes","2510,","21.000000","33.757029","Default Known Flow Node","Known Flow","313187.118377","680774.541454","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60201600000176","Nodes","176,","21.000000","33.671166","DDS demands","Known Flow","313184.450174","680771.261252","","0.000000","","","","","-4.739999","","","","","","-4.238592","-4.739999","","","","","","","D1 PROFILE","","","","",""
"60201600002559","Nodes","2559,","21.000000","33.795140","Default Known Flow Node","Known Flow","313171.014002","680799.382089","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60201600000148","Nodes","148,","21.000000","32.984058","DDS demands","Known Flow","313178.049413","680733.600768","","0.000000","","","","","-1.869999","","","","","","-1.672187","-1.869999","","","","","","","D1 PROFILE","","","","",""
