"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"60203400002632","Nodes","","21.000000","38.218429","Default Known Flow Node","Known Flow","321771.735143","694783.374537","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60203400002634","Nodes","","21.000000","38.614939","Default Known Flow Node","Known Flow","321778.403755","694749.099059","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60203400000016","Nodes","","21.000000","37.622275","Default Known Flow Node","Known Flow","321900.943250","694361.021827","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60203400000005","Nodes","","21.000000","37.404191","DDS demands","Known Flow","322310.079711","695127.790349","","0.000000","","","","","","","-2.509999","","","","","","","-2.244486","-2.509999","","","","","","","","","D1 PROFILE","","","","","",""
"60203400000269","Nodes","","21.000000","36.342070","Default Known Flow Node","Known Flow","321719.080952","694678.150244","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60203400000353","Nodes","P10123931, Dundonald, (Cond16) - 605.63 SCMHS","21.000000","38.189571","Point Loads","Known Flow","321871.579360","694469.678523","","0.000000","","","","","","","","","","","","","-605.629974","0.000000","0.000000","","","","","","","","","","","","","","","PL-PL PROFILE"
"60203400002030","Nodes","","21.000000","23.647069","Default Known Flow Node","Known Flow","320879.048706","695722.834270","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60203400002037","Nodes","","21.000000","24.312032","Default Known Flow Node","Known Flow","321011.290406","695753.903830","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60203400002033","Nodes","","21.000000","30.488446","Default Known Flow Node","Known Flow","321409.156614","695877.097564","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60203400002034","Nodes","","21.000000","30.233762","Default Known Flow Node","Known Flow","321379.105606","695926.503577","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60203400002035","Nodes","","21.000000","30.521101","Default Known Flow Node","Known Flow","321376.265605","695899.936570","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60203400002038","Nodes","","21.000000","24.356352","Default Known Flow Node","Known Flow","321034.557512","695733.460525","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
