"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(I2)"
"60206100000135","Nodes","135","21.000000","23.082803","Default Known Flow Node","Known Flow","341514.397262","727120.212213","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60206100000061","Nodes","61","21.000000","26.473178","DDS demands","Known Flow","341688.224700","727380.984423","","0.000000","-4.929999","","","","","-18.069999","","-20.567011","-22.999999","","","C1 PROFILE","","","","","D1 PROFILE",""
"60206100000156","Nodes","156","21.000000","27.166309","DDS demands","Known Flow","341635.481392","727268.220713","","0.000000","","","","","","-2.380000","","-2.128238","-2.380000","","","","","","","","D1 PROFILE",""
"60206100000304","Nodes","304","21.000000","23.673933","DDS demands","Known Flow","341834.915906","727467.760045","","0.000000","","","","","","-4.289999","","-3.836194","-4.289999","","","","","","","","D1 PROFILE",""
"60206100000302","Nodes","302","21.000000","24.565765","DDS demands","Known Flow","341801.190657","727454.698461","","0.000000","","","","","","-13.449999","","-12.027230","-13.449999","","","","","","","","D1 PROFILE",""
"60206100009020","Nodes","Logger id : 9583","21.000000","25.782540","Val Log Post","Known Flow","341851.017133","727634.189368","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60206100000280","Nodes","280","21.000000","26.212178","DDS demands","Known Flow","341887.770408","727635.459339","","0.000000","","","","","","-2.730000","","-2.441214","-2.730000","","","","","","","","D1 PROFILE",""
"60206100009024","Nodes","9024","21.000000","27.726270","Default Known Flow Node","Known Flow","341998.374507","727912.646453","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60206100000283","Nodes","283","21.000000","33.025663","Default Known Flow Node","Known Flow","342164.522289","727558.171165","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60206100009038","Nodes","9038","21.000000","28.168549","Default Known Flow Node","Known Flow","342039.684037","727929.574537","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
