"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DM)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-PL)"
"60606000000056","Nodes","56","21.000000","59.860657","DDS demands","Known Flow","273642.340616","846755.257619","","0.000000","","","","","-3.240000","","","","-2.897266","-3.240000","","","","","","","D1 PROFILE","","",""
"60606000000038","Nodes","38","21.000000","60.065446","DDS demands","Known Flow","273626.340612","846693.382602","","0.000000","","","","","-12.459999","","","","-11.141954","-12.459999","","","","","","","D1 PROFILE","","",""
"60606000000039","Nodes","39","21.000000","59.733999","Default Known Flow Node","Known Flow","273652.465619","846647.507590","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60606000000040","Nodes","40","21.000000","59.685933","DDS demands","Known Flow","273666.590623","846631.507586","","0.000000","","","","","-6.159999","","","","-5.508382","-6.159999","","","","","","","D1 PROFILE","","",""
"60606000000080","Nodes","80","21.000000","57.212692","DDS demands","Known Flow","273616.465609","846618.882582","","0.000000","","","","","-10.509999","","","","-9.398229","-10.509999","","","","","","","D1 PROFILE","","",""
"60606000000081","Nodes","81","21.000000","55.790267","DDS demands","Known Flow","273550.090591","846572.507570","","0.000000","","","","","-8.569999","","","","-7.663447","-8.569999","","","","","","","D1 PROFILE","","",""
"60606000000083","Nodes","83","21.000000","57.025011","DDS demands","Known Flow","273694.465630","846522.132556","","0.000000","","","","","-8.899999","","","","-7.958538","-8.899999","","","","","","","D1 PROFILE","","",""
"60606000000084","Nodes","84","21.000000","55.841645","DDS demands","Known Flow","273616.215609","846486.757546","","0.000000","","","","","-3.960000","","","","-3.541102","-3.960000","","","","","","","D1 PROFILE","","",""
"60606000000082","Nodes","82","21.000000","55.531066","DDS demands","Known Flow","273540.090588","846458.382539","","0.000000","","","","","-7.860000","","","","-7.028552","-7.860000","","","","","","","D1 PROFILE","","",""
"60606000000012","Nodes","12","21.000000","73.032897","DDS demands","Known Flow","272888.965411","847021.007692","","0.000000","","","","","-17.780000","","","","-15.899194","-17.780000","","","","","","","D1 PROFILE","","",""
"60606000000013","Nodes","13","21.000000","69.125584","DDS demands","Known Flow","272981.840437","847139.382724","","0.000000","","","","","-2.809999","","","","-2.512752","-2.809999","","","","","","","D1 PROFILE","","",""
"60606000000015","Nodes","15","21.000000","68.904993","DDS demands","Known Flow","272953.590429","847145.507726","","0.000000","","","","","-8.579999","","","","-7.672389","-8.579999","","","","","","","D1 PROFILE","","",""
"60606000000021","Nodes","21","21.000000","66.202794","Default Known Flow Node","Known Flow","272909.090417","847160.882730","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60606000000022","Nodes","22","21.000000","66.202794","Default Known Flow Node","Known Flow","272880.465409","847156.632729","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60606000000018","Nodes","","21.000000","32.581562","DDS demands","Known Flow","276768.565550","849867.194104","","0.000000","","","","","-1.809999","","","","-1.618534","-1.809999","","","","","","","D1 PROFILE","","",""
"60606001462488","Nodes","-1462488","21.000000","66.080620","Default Known Flow Node","Known Flow","272948.965428","847257.757756","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60606000000017","Nodes","17","21.000000","66.080620","DDS demands","Known Flow","272969.090433","847235.632750","","0.000000","","","","","-0.939999","","","","-0.840564","-0.939999","","","","","","","D1 PROFILE","","",""
"60606000000020","Nodes","20","21.000000","66.039906","Default Known Flow Node","Known Flow","272998.090441","847278.507762","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60606000000014","Nodes","14","21.000000","67.786349","Default Known Flow Node","Known Flow","273032.090450","847168.632732","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60606000000016","Nodes","16","21.000000","66.203123","DDS demands","Known Flow","273007.715444","847194.382739","","0.000000","","","","","-2.039999","","","","-1.824204","-2.039999","","","","","","","D1 PROFILE","","",""
"60606000000041","Nodes","41","21.000000","62.540080","DDS demands","Known Flow","273058.090457","847272.257760","","0.000000","","","","","-2.240000","","","","-2.003048","-2.240000","","","","","","","D1 PROFILE","","",""
"60606001462484","Nodes","-1462484","21.000000","62.499079","Default Known Flow Node","Known Flow","273059.340458","847275.257761","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60606000000116","Nodes","116","21.000000","58.877230","Default Known Flow Node","Known Flow","273111.138511","847346.682307","","0.000000","","","","","","-9.009999","","","0.000000","0.000000","","","","","","","","DM PROFILE","",""
"60606000000023","Nodes","23","21.000000","67.634154","DDS demands","Known Flow","273040.965453","847160.757730","","0.000000","","","","","-5.070000","","","","-4.533684","-5.070000","","","","","","","D1 PROFILE","","",""
"60606000000024","Nodes","24","21.000000","67.636361","DDS demands","Known Flow","273092.715467","847182.382736","","0.000000","","","","","-2.920000","","","","-2.611116","-2.920000","","","","","","","D1 PROFILE","","",""
"60606000000025","Nodes","25","21.000000","66.746905","DDS demands","Known Flow","273097.965468","847102.507714","","0.000000","","","","","-8.869999","","","","-7.931712","-8.869999","","","","","","","D1 PROFILE","","",""
"60606000000026","Nodes","26","21.000000","66.701863","DDS demands","Known Flow","273060.715458","847048.257699","","0.000000","","","","","-3.190000","","","","-2.852555","-3.190000","","","","","","","D1 PROFILE","","",""
"60606000000027","Nodes","27","21.000000","66.348253","DDS demands","Known Flow","273135.340478","847072.632706","","0.000000","","","","","-12.979999","","","","-11.606948","-12.979999","","","","","","","D1 PROFILE","","",""
"60606000000085","Nodes","85","21.000000","58.773052","DDS demands","Known Flow","273112.715472","847349.132781","","0.000000","","","","","-5.359999","","","","-4.793007","-5.359999","","","","","","","D1 PROFILE","","",""
"60606000000117","Nodes","117","21.000000","58.695878","Default Known Flow Node","Known Flow","273072.715461","847368.632786","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60606010000056","Nodes","-56","21.000000","58.071540","Default Known Flow Node","Known Flow","273130.340477","847334.882777","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60606000000086","Nodes","86","21.000000","56.507272","DDS demands","Known Flow","273166.965487","847288.757764","","0.000000","","","","","-2.190000","","","","-1.958337","-2.190000","","","","","","","D1 PROFILE","","",""
"60606000000087","Nodes","87","21.000000","55.683318","DDS demands","Known Flow","273213.340500","847257.757756","","0.000000","","","","","-2.519999","","","","-2.253428","-2.519999","","","","","","","D1 PROFILE","","",""
"60606000000097","Nodes","97","21.000000","55.554326","DDS demands","Known Flow","273227.465503","847326.382775","","0.000000","","","","","-7.519999","","","","-6.724518","-7.519999","","","","","","","D1 PROFILE","","",""
"60606000000089","Nodes","89","21.000000","54.971754","DDS demands","Known Flow","273259.965512","847251.507754","","0.000000","","","","","-6.309999","","","","-5.642515","-6.309999","","","","","","","D1 PROFILE","","",""
"60606000000088","Nodes","88","21.000000","55.654966","DDS demands","Known Flow","273177.965490","847194.007739","","0.000000","","","","","-3.749999","","","","-3.353317","-3.749999","","","","","","","D1 PROFILE","","",""
"60606000000029","Nodes","29","21.000000","65.541120","DDS demands","Known Flow","273212.715499","847026.257693","","0.000000","","","","","-2.859999","","","","-2.557463","-2.859999","","","","","","","D1 PROFILE","","",""
"60606000000028","Nodes","28","21.000000","66.046062","DDS demands","Known Flow","273174.340489","847137.757723","","0.000000","","","","","-5.480000","","","","-4.900314","-5.480000","","","","","","","D1 PROFILE","","",""
"60606000000031","Nodes","31","21.000000","65.377312","DDS demands","Known Flow","273240.465507","847010.882689","","0.000000","","","","","-3.930000","","","","-3.514276","-3.930000","","","","","","","D1 PROFILE","","",""
