"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(TT)"
"606061-34","Nodes","-34","21.000000","56.989381","Default Known Flow Node","Known Flow","358954.875000","865952.250000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"606061-20","Nodes","-20","21.000000","56.535533","Default Known Flow Node","Known Flow","358955.125000","865885.000000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"606061-24","Nodes","-24","21.000000","56.411563","Default Known Flow Node","Known Flow","358917.500000","865902.750000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60606100000032","Nodes","32","21.000000","56.434577","DDS demands","Known Flow","358995.875000","865884.750000","","0.000000","-3.780000","","","","-6.704999","","","","","-9.375874","-10.484999","","","","C1 PROFILE","","","","D1 PROFILE","","","","",""
"60606100000039","Nodes","39","21.000000","52.808603","DDS demands","Known Flow","359144.000000","865907.000000","","0.000000","","","","","-10.595999","","","","","-9.475132","-10.595999","","","","","","","","D1 PROFILE","","","","",""
"60606100000033","Nodes","33","21.000000","53.769344","DDS demands","Known Flow","359094.250000","865952.375000","","0.000000","","","","-3.839999","-4.353000","","","","","-7.326327","-8.192999","","","","","","","C4 PROFILE","D1 PROFILE","","","","",""
"60606100000034","Nodes","34","21.000000","53.475800","DDS demands","Known Flow","359083.250000","865899.500000","","0.000000","","","","","-6.765999","","","","","-6.050277","-6.765999","","","","","","","","D1 PROFILE","","","","",""
"60606100000035","Nodes","35","21.000000","52.213188","DDS demands","Known Flow","359055.125000","865780.500000","","0.000000","","","","","-6.202999","","","","","-5.546833","-6.202999","","","","","","","","D1 PROFILE","","","","",""
"60606100000029","Nodes","29","21.000000","53.824869","DDS demands","Known Flow","359085.625000","865951.625000","","0.000000","","","","","-0.995000","","","","","-0.889746","-0.995000","","","","","","","","D1 PROFILE","","","","",""
"60606100000030","Nodes","30","21.000000","54.712048","DDS demands","Known Flow","359039.875000","865950.125000","","0.000000","","","","","-14.607000","","","","","-13.061840","-14.607000","","","","","","","","D1 PROFILE","","","","",""
"60606100000031","Nodes","31","21.000000","54.791659","DDS demands","Known Flow","359026.750000","865896.375000","","0.000000","","","","","-0.945000","","","","","-0.845035","-0.945000","","","","","","","","D1 PROFILE","","","","",""
"60606100000036","Nodes","36","21.000000","52.031865","DDS demands","Known Flow","359046.750000","865745.875000","","0.000000","","","","","-9.973000","","","","","-8.918035","-9.973000","","","","","","","","D1 PROFILE","","","","",""
"60606100000082","Nodes","82","21.000000","49.960452","DDS demands","Known Flow","359106.000000","865769.375000","","0.000000","","","","","-12.404999","","","","","-11.092772","-12.404999","","","","","","","","D1 PROFILE","","","","",""
"60606100000083","Nodes","83","21.000000","49.326625","DDS demands","Known Flow","359128.750000","865863.250000","","0.000000","","","","","-2.733999","","","","","-2.444791","-2.733999","","","","","","","","D1 PROFILE","","","","",""
"60606100000084","Nodes","84","21.000000","44.588516","DDS demands","Known Flow","359044.250000","865386.125000","","0.000000","","","","","-18.195999","","","","","-16.271188","-18.195999","","","","","","","","D1 PROFILE","","","","",""
"60606100000064","Nodes","64","21.000000","53.440461","DDS demands","Known Flow","358443.375000","866019.875000","","0.000000","","","","","-8.222999","","","","","-7.353153","-8.222999","","","","","","","","D1 PROFILE","","","","",""
"606061-39","Nodes","-39","21.000000","53.390863","Default Known Flow Node","Known Flow","358440.750000","866013.125000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60606100000067","Nodes","67, P08116716, 9.42 SCMH","22.999998","54.730837","CSEP Unmatched","Known Flow","358599.663719","866142.861496","","0.000000","","","","","","","","","-9.419999","-8.423532","-9.419999","","","","","","","","","","","","PL-AF PROFILE",""
"60606100000086","Nodes","86, ""336037, PJT0121"", ""Sutherland Place"", 26.50","22.999998","47.683497","CSEP Unmatched","Known Flow","358326.500000","866061.875000","","0.000000","","","","","-4.784999","","","","-26.500000","-27.975608","-31.285000","","","","","","","","D1 PROFILE","","","","PL-AF PROFILE",""
"60606100000065","Nodes","65","21.000000","53.473498","DDS demands","Known Flow","358339.500000","865984.125000","","0.000000","","","","","-0.874999","","","","","-0.782440","-0.874999","","","","","","","","D1 PROFILE","","","","",""
"60606100000017","Nodes","17","21.000000","56.759987","DDS demands","Known Flow","358987.875000","866032.875000","","0.000000","","","","","-0.563000","","","","","-0.503444","-0.563000","","","","","","","","D1 PROFILE","","","","",""
"60606100000020","Nodes","20","21.000000","55.563614","DDS demands","Known Flow","358854.500000","866104.625000","","0.000000","","","","","-7.870999","","","","","-7.038388","-7.870999","","","","","","","","D1 PROFILE","","","","",""
"60606100000060","Nodes","60","21.000000","50.290559","DDS demands","Known Flow","358846.750000","866284.000000","","0.000000","","","","","-5.097000","","","","","-4.557829","-5.097000","","","","","","","","D1 PROFILE","","","","",""
"60606100000059","Nodes","59","21.000000","50.723801","DDS demands","Known Flow","358797.250000","866317.375000","","0.000000","","","","","-8.333999","","","","","-7.452411","-8.333999","","","","","","","","D1 PROFILE","","","","",""
"60606100000055","Nodes","55","21.000000","56.248910","DDS demands","Known Flow","358731.375000","866060.500000","","0.000000","-4.829999","","","","-16.396000","","","","","-18.980668","-21.226000","","","","C1 PROFILE","","","","D1 PROFILE","","","","",""
"60606100000061","Nodes","61","21.000000","55.967871","DDS demands","Known Flow","358677.375000","866125.500000","","0.000000","","","","","-5.106999","","","","","-4.566770","-5.106999","","","","","","","","D1 PROFILE","","","","",""
