"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(IH)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IH)"
"60207600000033","Nodes","33","21.000000","33.086892","Default Known Flow Node","Known Flow","302465.766459","689350.035788","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60207600003101","Nodes","3101","21.000000","23.881959","DDS demands","Known Flow","302119.557485","689076.726358","","0.000000","","","","-3.660000","","","","","-3.272837","-3.660000","","","","","","D1 PROFILE","","","",""
"60207600000024","Nodes","24","21.000000","23.896336","DDS demands","Known Flow","302126.799969","689078.794644","","0.000000","","","","-11.470000","","","","","-10.256680","-11.470000","","","","","","D1 PROFILE","","","",""
"60207600003099","Nodes","3099","21.000000","26.136415","DDS demands","Known Flow","302001.773845","689203.378778","","0.000000","","","","-7.409999","","","","","-6.626154","-7.409999","","","","","","D1 PROFILE","","","",""
"60207600003105","Nodes","3105","21.000000","24.163552","DDS demands","Known Flow","302118.371202","689109.297690","","0.000000","","","","-3.510000","","","","","-3.138704","-3.510000","","","","","","D1 PROFILE","","","",""
"60207600003038","Nodes","3038","21.000000","24.177168","Default Known Flow Node","Known Flow","302117.404470","689112.401027","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60207600003022","Nodes","3022","21.000000","29.643478","Default Known Flow Node","Known Flow","302200.471559","689265.694827","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60207600003076","Nodes","3076","21.000000","35.614063","Default Known Flow Node","Known Flow","302356.023429","689363.020791","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60207600003048","Nodes","3048","21.000000","35.590388","Default Known Flow Node","Known Flow","302358.364430","689357.481790","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60207600000034","Nodes","34","21.000000","33.073951","DDS demands","Known Flow","302492.857467","689347.205787","","0.000000","-15.999999","","","","","","","","-14.307486","-15.999999","","","C1 PROFILE","","","","","","",""
"60207600000051","Nodes","51","21.000000","25.110479","Default Known Flow Node","Known Flow","302971.812597","689046.332705","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60207600000117","Nodes","117","21.000000","28.424398","DDS demands","Known Flow","302582.107491","689194.280746","","0.000000","","","-3.619999","","","","","","-3.237068","-3.619999","","","","","C4 PROFILE","","","","",""
"60207600000146","Nodes","146","21.000000","26.759539","DDS demands","Known Flow","302767.248541","689120.850726","","0.000000","","","","-15.460000","","","","","-13.824608","-15.460000","","","","","","D1 PROFILE","","","",""
"60207600000045","Nodes","45","21.000000","26.823427","DDS demands","Known Flow","302808.776553","689121.660726","","0.000000","","","","-7.349999","","","","","-6.572501","-7.349999","","","","","","D1 PROFILE","","","",""
"60207600000129","Nodes","129","21.000000","23.929967","DDS demands","Known Flow","302821.781556","689285.812770","","0.000000","","","","-15.670000","","","","","-14.012395","-15.670000","","","","","","D1 PROFILE","","","",""
"60207600003012","Nodes","3012","21.000000","26.166401","Default Known Flow Node","Known Flow","302770.956542","689223.186753","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60207600003030","Nodes","3030","21.000000","28.264370","Default Known Flow Node","Known Flow","302554.178483","689100.700720","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60207600003044","Nodes","3044","21.000000","27.704830","Default Known Flow Node","Known Flow","302611.962499","689121.644726","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60207600003108","Nodes","3108","21.000000","27.704830","DDS demands","Known Flow","302618.788501","689122.834726","","0.000000","","","","-8.050000","","","","","-7.198454","-8.050000","","","","","","D1 PROFILE","","","",""
"60207600003113","Nodes","3113","21.000000","27.849346","Default Known Flow Node","Known Flow","302694.071521","689195.034746","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60207600003018","Nodes","3018","21.000000","27.406531","Default Known Flow Node","Known Flow","302712.721781","689246.864889","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60207600000133","Nodes","133","21.000000","25.295658","DDS demands","Known Flow","302960.840594","689045.587705","","0.000000","","","","-15.279999","","","","","-13.663649","-15.279999","","","","","","D1 PROFILE","","","",""
"60207600000134","Nodes","134","21.000000","24.527161","DDS demands","Known Flow","302899.875577","689171.024739","","0.000000","","","","-17.229999","","","","","-15.407373","-17.229999","","","","","","D1 PROFILE","","","",""
"60207600000141","Nodes","P08118311, WARDLAW WAY OAKLEY, 12.18","22.999998","24.124113","CSEP DDS Matched","Known Flow","302836.019560","689195.028746","","0.000000","","","","-6.730000","-5.119999","","","","-10.596482","-11.850000","","","","","","D1 PROFILE","DC PROFILE","","",""
"60207600000131","Nodes","131","21.000000","23.962119","DDS demands","Known Flow","302902.216191","689264.496519","","0.000000","","","","-17.899999","","","","","-16.006500","-17.899999","","","","","","D1 PROFILE","","","",""
"60207600000130","Nodes","130","21.000000","23.914768","DDS demands","Known Flow","302847.001845","689281.053480","","0.000000","","","","-12.380000","","","","","-11.070417","-12.380000","","","","","","D1 PROFILE","","","",""
"60207600000147","Nodes","147","21.000000","26.849880","DDS demands","Known Flow","302844.799562","689125.918727","","0.000000","","","","-7.829999","","","","","-7.001726","-7.829999","","","","","","D1 PROFILE","","","",""
"60207600003100","Nodes","3100","21.000000","27.358860","Default Known Flow Node","Known Flow","302692.444622","689077.100863","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60207600000144","Nodes","144","21.000000","27.821699","DDS demands","Known Flow","302601.689496","689074.665713","","0.000000","","","","-6.900000","","","","","-6.170103","-6.900000","","","","","","D1 PROFILE","","","",""
"60207600000145","Nodes","145","21.000000","27.516228","DDS demands","Known Flow","302579.013490","689012.454696","","0.000000","","","","-4.990000","","","","","-4.462147","-4.990000","","","","","","D1 PROFILE","","","",""
"60207600000048","Nodes","48","21.000000","27.990509","DDS demands","Known Flow","302647.870509","689194.233746","","0.000000","","","","-6.280000","","","","","-5.615688","-6.280000","","","","","","D1 PROFILE","","","",""
"60207600000127","Nodes","127","21.000000","26.555304","DDS demands","Known Flow","302747.587536","689187.263744","","0.000000","","","","-16.489999","","","","","-14.745652","-16.489999","","","","","","D1 PROFILE","","","",""
"60207600003112","Nodes","3112","21.000000","26.552203","DDS demands","Known Flow","302789.909548","689188.698744","","0.000000","","","","-1.019999","","","","","-0.912102","-1.019999","","","","","","D1 PROFILE","","","",""
"60207600000128","Nodes","128","21.000000","26.180145","DDS demands","Known Flow","302771.364542","689219.482752","","0.000000","","","","-13.199999","","","","","-11.803675","-13.199999","","","","","","D1 PROFILE","","","",""
"60207600003006","Nodes","3006","21.000000","26.298828","Default Known Flow Node","Known Flow","302762.790540","689208.160749","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60207600003034","Nodes","3034","21.000000","27.704830","Default Known Flow Node","Known Flow","302623.750502","689124.276727","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60207600000137","Nodes","137","21.000000","25.103296","DDS demands","Known Flow","303034.422514","689045.936556","","0.000000","","","","-5.960000","","","","","-5.329538","-5.960000","","","","","","D1 PROFILE","","","",""
"60207600000121","Nodes","121","21.000000","24.788429","DDS demands","Known Flow","303235.742039","689176.632294","","0.000000","","","","-8.439999","","","","","-7.547198","-8.439999","","","","","","D1 PROFILE","","","",""
"60207600000138","Nodes","138","21.000000","25.042564","DDS demands","Known Flow","303047.361604","689113.277679","","0.000000","","","","-14.979999","","","","","-13.395383","-14.979999","","","","","","D1 PROFILE","","","",""
"60207600003110","Nodes","3110","21.000000","24.754773","Default Known Flow Node","Known Flow","303059.404621","689180.244742","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60207600000119","Nodes","119","21.000000","25.063324","DDS demands","Known Flow","303126.600832","689072.410614","","0.000000","","","","-2.130000","","","","","-1.904684","-2.130000","","","","","","D1 PROFILE","","","",""
"60207600000062","Nodes","62","21.000000","25.096776","DDS demands","Known Flow","303172.077065","689093.121318","","0.000000","","","","-7.679999","","","","","-6.867593","-7.679999","","","","","","D1 PROFILE","","","",""
"60207600003109","Nodes","3109","21.000000","25.072866","Default Known Flow Node","Known Flow","303250.043945","689134.015084","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60207600000064","Nodes","64","21.000000","24.948849","DDS demands","Known Flow","303230.367498","689120.725261","","0.000000","","","","-1.500000","","","","","-1.341326","-1.500000","","","","","","D1 PROFILE","","","",""
"60207600000063","Nodes","63","21.000000","25.072821","DDS demands","Known Flow","303252.207673","689135.310730","","0.000000","","","","-7.869999","","","","","-7.037494","-7.869999","","","","","","D1 PROFILE","","","",""
"60207600000201","Nodes","201","21.000000","27.747707","Default Known Flow Node","Known Flow","302364.305432","688954.202680","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
