"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(PL-AF)"
"60210600000038","Nodes","38","21.000000","37.295878","DDS demands","Known Flow","325577.437011","722967.737870","","0.000000","","","","-6.989999","","","","-6.250582","-6.989999","","","","","","D1 PROFILE","","",""
"60210600000002","Nodes","2","21.000000","49.965223","DDS demands","Known Flow","324793.057700","723027.985415","","0.000000","","","","-5.760000","","","","-5.150695","-5.760000","","","","","","D1 PROFILE","","",""
"60210600000003","Nodes","","26.000000","48.525360","DDS demands","Known Flow","324835.092060","723041.091901","","0.000000","","","","-1.200000","","","","-1.073061","-1.200000","","","","","","D1 PROFILE","","",""
"60210600000042","Nodes","42","21.000000","48.935827","DDS demands","Known Flow","324900.243832","722872.365182","","0.000000","","","","-8.669999","","","","-7.752868","-8.669999","","","","","","D1 PROFILE","","",""
"60210600000001","Nodes","1","21.000000","49.979389","DDS demands","Known Flow","324793.234401","723029.969900","","0.000000","","","","-1.669999","","","","-1.493343","-1.669999","","","","","","D1 PROFILE","","",""
"60210600000004","Nodes","4","21.000000","48.304897","DDS demands","Known Flow","324908.140000","723030.145000","","0.000000","","","","-4.650000","","","","-4.158113","-4.650000","","","","","","D1 PROFILE","","",""
"60210600000005","Nodes","5","21.000000","48.361852","Default Known Flow Node","Known Flow","324927.265000","723009.645000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60210600000108","Nodes","Errol Village DG, Constant, Tel, Site ID 1702","21.000000","49.999998","Default Known Pressure Node","Known Pressure","324794.077127","723032.729150","","999998.967025","","","","","","","","581.867505","650.700010","","","","","","","","",""
"60210600000008","Nodes","8","21.000000","47.834714","DDS demands","Known Flow","325050.313535","723047.131941","","0.000000","","","","-7.269999","","","","-6.500963","-7.269999","","","","","","D1 PROFILE","","",""
"60210600000058","Nodes","58","21.000000","37.457517","DDS demands","Known Flow","325498.203687","723095.289996","","0.000000","","","","-2.009999","","","","-1.797377","-2.009999","","","","","","D1 PROFILE","","",""
"60210600000026","Nodes","26","21.000000","38.665590","DDS demands","Known Flow","325469.294333","723058.861219","","0.000000","0.000000","","","-6.260000","","","","-5.597804","-6.260000","","","C2 PROFILE","","","D1 PROFILE","","",""
